load_id;origin;destination;pickup_datetime;delivery_datetime;equipment_type;loadboard_rate;notes;weight;commodity_type;num_of_pieces;miles;dimensions
00158;Minneapolis, MN;St. Louis, MO;04/06/2025 22:49;06/06/2025 22:49;dry van;2974;;30475;electronics;22;381;40ft
00159;Miami, FL;New York, NY;01/06/2025 22:49;03/06/2025 22:49;dry van;3654;Needs lift gate;35666;machinery;8;2225;40ft
00160;Phoenix, AZ;Houston, TX;28/05/2025 22:49;29/05/2025 22:49;reefer;4453;;38850;clothing;5;2098;40ft
00161;San Francisco, CA;Salt Lake City, UT;05/06/2025 22:49;08/06/2025 22:49;dry van;4216;;17995;furniture;22;1308;40ft
00162;Boston, MA;Philadelphia, PA;03/06/2025 22:49;05/06/2025 22:49;dry van;4792;Needs lift gate;29093;electronics;29;2399;48ft
00163;Atlanta, GA;Chicago, IL;30/05/2025 22:49;01/06/2025 22:49;dry van;3449;;11828;machinery;2;602;53ft
00164;Seattle, WA;Denver, CO;28/05/2025 22:49;30/05/2025 22:49;flatbed;3798;;25322;frozen produce;10;1522;53ft
00165;Phoenix, AZ;Houston, TX;01/06/2025 22:49;02/06/2025 22:49;dry van;4775;;43673;furniture;26;330;53ft
00166;San Francisco, CA;Salt Lake City, UT;29/05/2025 22:49;31/05/2025 22:49;reefer;4616;;12845;clothing;4;1238;53ft
00167;San Francisco, CA;Salt Lake City, UT;31/05/2025 22:49;03/06/2025 22:49;flatbed;4277;;13727;frozen produce;11;2490;40ft
00168;Charlotte, NC;Cleveland, OH;04/06/2025 22:49;07/06/2025 22:49;dry van;3216;;14484;furniture;25;1495;48ft
00169;Seattle, WA;Denver, CO;05/06/2025 22:49;06/06/2025 22:49;flatbed;3841;;16427;clothing;12;551;53ft
00170;Charlotte, NC;Cleveland, OH;05/06/2025 22:49;07/06/2025 22:49;flatbed;1131;Team driver preferred;12536;electronics;26;1046;40ft
00171;Atlanta, GA;Chicago, IL;01/06/2025 22:49;03/06/2025 22:49;dry van;2628;Hazmat required;24020;furniture;25;1315;53ft
00172;Miami, FL;New York, NY;02/06/2025 22:49;05/06/2025 22:49;reefer;4988;;27662;frozen produce;26;1954;48ft
00173;Minneapolis, MN;St. Louis, MO;04/06/2025 22:49;05/06/2025 22:49;flatbed;2245;;11314;electronics;20;1681;40ft
00174;Charlotte, NC;Cleveland, OH;29/05/2025 22:49;01/06/2025 22:49;reefer;1208;Needs lift gate;26892;machinery;22;1643;53ft
00175;Miami, FL;New York, NY;04/06/2025 22:49;06/06/2025 22:49;dry van;2233;Needs lift gate;10909;machinery;9;1378;40ft
00176;Atlanta, GA;Chicago, IL;30/05/2025 22:49;01/06/2025 22:49;reefer;3442;Hazmat required;39150;frozen produce;12;334;40ft
00177;San Francisco, CA;Salt Lake City, UT;28/05/2025 22:49;29/05/2025 22:49;dry van;1626;;18238;furniture;30;257;53ft
00178;Charlotte, NC;Cleveland, OH;30/05/2025 22:49;01/06/2025 22:49;dry van;4075;;39557;machinery;3;1533;48ft
00179;Seattle, WA;Denver, CO;02/06/2025 22:49;03/06/2025 22:49;flatbed;2366;Team driver preferred;18919;electronics;2;257;40ft
00180;Boston, MA;Philadelphia, PA;05/06/2025 22:49;08/06/2025 22:49;reefer;3631;Hazmat required;44137;electronics;12;1909;40ft
00181;San Francisco, CA;Salt Lake City, UT;27/05/2025 22:49;28/05/2025 22:49;flatbed;1675;;19905;frozen produce;13;1552;40ft
00182;Phoenix, AZ;Houston, TX;01/06/2025 22:49;04/06/2025 22:49;reefer;4083;Team driver preferred;24877;clothing;6;591;48ft
00183;Seattle, WA;Denver, CO;03/06/2025 22:49;04/06/2025 22:49;reefer;2186;;29108;clothing;8;1042;53ft
00184;Phoenix, AZ;Houston, TX;01/06/2025 22:49;03/06/2025 22:49;reefer;1184;;30837;clothing;5;1315;48ft
00185;San Francisco, CA;Salt Lake City, UT;27/05/2025 22:49;29/05/2025 22:49;dry van;3283;Needs lift gate;42187;electronics;27;910;53ft
00186;Charlotte, NC;Cleveland, OH;04/06/2025 22:49;06/06/2025 22:49;dry van;1553;;24624;clothing;5;1780;40ft
00187;Seattle, WA;Denver, CO;02/06/2025 22:49;04/06/2025 22:49;reefer;4731;;32061;clothing;8;724;40ft
00188;Seattle, WA;Denver, CO;28/05/2025 22:49;29/05/2025 22:49;reefer;4560;Hazmat required;26782;furniture;12;233;48ft
00189;Las Vegas, NV;Portland, OR;28/05/2025 22:49;30/05/2025 22:49;dry van;3246;Hazmat required;29498;electronics;18;1604;53ft
00190;Las Vegas, NV;Portland, OR;03/06/2025 22:49;04/06/2025 22:49;dry van;987;;22243;furniture;21;1353;48ft
00191;Las Vegas, NV;Portland, OR;31/05/2025 22:49;03/06/2025 22:49;reefer;1216;Hazmat required;38344;electronics;24;2237;48ft
00192;Phoenix, AZ;Houston, TX;05/06/2025 22:49;07/06/2025 22:49;flatbed;3740;Needs lift gate;10002;furniture;21;2262;48ft
00193;Boston, MA;Philadelphia, PA;30/05/2025 22:49;31/05/2025 22:49;reefer;3850;Team driver preferred;34992;electronics;2;790;40ft
00194;Miami, FL;New York, NY;03/06/2025 22:49;04/06/2025 22:49;reefer;2121;Hazmat required;22020;furniture;11;1833;40ft
00195;Minneapolis, MN;St. Louis, MO;30/05/2025 22:49;01/06/2025 22:49;flatbed;2162;;15951;furniture;22;971;53ft
00196;Phoenix, AZ;Houston, TX;27/05/2025 22:49;30/05/2025 22:49;dry van;1813;;15871;clothing;8;1538;53ft
00197;Las Vegas, NV;Portland, OR;02/06/2025 22:49;03/06/2025 22:49;dry van;3329;Hazmat required;32024;furniture;29;1248;53ft
00198;Miami, FL;New York, NY;04/06/2025 22:49;06/06/2025 22:49;flatbed;3762;;12196;furniture;7;624;53ft
00199;Atlanta, GA;Chicago, IL;02/06/2025 22:49;03/06/2025 22:49;reefer;3738;;22266;furniture;12;1993;48ft
00200;Las Vegas, NV;Portland, OR;03/06/2025 22:49;06/06/2025 22:49;reefer;1002;Hazmat required;14029;frozen produce;7;550;48ft
